source,target,weight
wind,zee,0.1
winkel,eten,0.1
winnen,spel,0.06
winnen,sport,0.06
winnen,wedstrijd,0.14
winter,koud,0.41
winter,sneeuw,0.26
wiskunde,cijfers,0.09
wiskunde,moeilijk,0.12
wiskunde,rekenen,0.2
wit,kleur,0.1
wit,sneeuw,0.19
wit,zwart,0.24
woede,boos,0.19
woede,kwaad,0.19
wonde,bloed,0.34
wonde,pijn,0.29
woorden,spreken,0.08
woorden,taal,0.11
zagen,hout,0.28
zand,strand,0.35
zand,zee,0.37
zee,strand,0.17
zee,water,0.26
zeker,juist,0.07
zeker,vast,0.18
zetel,rust,0.07
zetel,stoel,0.11
zetel,tv,0.07
zetel,zitten,0.15
ziek,bed,0.12
ziek,dokter,0.08
ziek,pijn,0.11
ziekenhuis,bed,0.09
ziekenhuis,dokter,0.08
ziekenhuis,wit,0.14
ziekenhuis,ziek,0.14
ziekte,dood,0.09
ziekte,pijn,0.12
zien,kijken,0.3
zien,ogen,0.36
zingen,dansen,0.07
zingen,lied,0.06
zingen,muziek,0.1
zingen,vals,0.08
zitten,stoel,0.46
zitten,zetel,0.08
zoet,lekker,0.06
zoet,snoep,0.35
zoet,suiker,0.22
zoet,zuur,0.12
zomer,vakantie,0.06
zomer,warm,0.29
zomer,winter,0.08
zomer,zon,0.33
zon,geel,0.07
zon,vakantie,0.08
zon,warm,0.21
zon,warmte,0.16
zon,zee,0.07
zon,zomer,0.09
zot,gek,0.47
zuur,snoep,0.19
zuur,zoet,0.16
zwaar,dik,0.18
zwaar,gewicht,0.12
zwaar,licht,0.09
zwart,donker,0.21
zwart,kleur,0.06
zwart,nacht,0.08
zwart,wit,0.17
zwembad,water,0.47
zwembad,zwemmen,0.1
zwemmen,water,0.46
zwemmen,zwembad,0.09
