node,word,matched_warriner,valence_raw,valence_centered,arousal_raw,dominance_raw
life,life,True,6.68,0.41999999999999993,5.59,5.89
light,light,True,6.55,0.38749999999999996,3.52,5.89
like,like,True,7.44,0.6100000000000001,4.4,6.28
lion,lion,True,5.84,0.20999999999999996,5.29,4.86
long,,False,5.0,0.0,5.0,5.0
look,look,True,5.95,0.23750000000000004,3.76,5.88
lost,lost,True,2.53,-0.6175,5.11,3.85
loud,,False,5.0,0.0,5.0,5.0
love,love,True,8.0,0.75,5.36,5.92
machine,machine,True,5.0,0.0,4.39,4.8
mad,mad,True,2.47,-0.6325,5.59,4.9
mail,mail,True,6.28,0.32000000000000006,3.81,5.26
man,man,True,5.42,0.10499999999999998,4.36,5.44
map,map,True,5.81,0.2024999999999999,3.95,5.79
marriage,marriage,True,7.56,0.6399999999999999,4.95,5.33
math,math,True,4.45,-0.13749999999999996,4.96,5.79
me,,False,5.0,0.0,5.0,5.0
mean,mean,True,2.43,-0.6425,4.81,4.17
meat,meat,True,6.62,0.405,4.3,5.58
medicine,medicine,True,5.9,0.2250000000000001,4.0,5.35
meeting,meeting,True,4.55,-0.11250000000000004,3.71,5.47
metal,metal,True,5.05,0.012499999999999956,3.48,6.54
military,military,True,4.9,-0.02499999999999991,5.8,5.89
milk,milk,True,6.74,0.43500000000000005,2.33,6.31
mind,mind,True,6.7,0.42500000000000004,5.05,6.09
mine,,False,5.0,0.0,5.0,5.0
money,money,True,7.1,0.5249999999999999,6.86,6.32
moon,moon,True,7.0,0.5,3.43,6.11
mother,mother,True,7.53,0.6325000000000001,4.73,6.11
mountain,mountain,True,6.65,0.4125000000000001,4.12,6.18
mouse,mouse,True,4.8,-0.050000000000000044,3.38,4.29
move,move,True,4.95,-0.012499999999999956,4.24,5.12
movie,movie,True,7.24,0.56,4.39,5.68
music,music,True,7.67,0.6675,5.57,6.5
name,name,True,5.62,0.15500000000000003,3.04,5.14
nature,nature,True,6.88,0.47,4.0,5.0
needle,needle,True,3.97,-0.25749999999999995,4.36,5.12
new,new,True,7.68,0.6699999999999999,5.14,5.22
news,news,True,4.96,-0.010000000000000009,4.61,4.48
newspaper,newspaper,True,5.11,0.02750000000000008,2.67,5.05
nice,nice,True,6.95,0.48750000000000004,3.53,6.47
night,night,True,6.68,0.41999999999999993,3.57,5.22
noise,noise,True,3.36,-0.41000000000000003,5.75,5.47
nose,nose,True,5.5,0.125,3.1,4.61
number,number,True,5.59,0.14749999999999996,3.5,6.13
numbers,,False,5.0,0.0,5.0,5.0
ocean,ocean,True,7.39,0.5974999999999999,3.5,5.88
odd,odd,True,4.56,-0.1100000000000001,4.26,5.42
oil,oil,True,3.91,-0.27249999999999996,4.25,5.63
old,old,True,3.19,-0.4525,4.48,4.22
one,one,True,6.09,0.27249999999999996,2.67,5.56
orange,orange,True,6.81,0.4524999999999999,4.04,5.58
paint,paint,True,5.74,0.18500000000000005,4.5,6.56
painting,painting,True,6.9,0.4750000000000001,3.25,7.32
pants,pants,True,5.62,0.15500000000000003,3.8,6.29
paper,paper,True,5.42,0.10499999999999998,3.52,5.64
part,part,True,4.77,-0.05750000000000011,3.36,5.21
party,party,True,7.18,0.5449999999999999,6.08,5.92
pay,pay,True,6.23,0.3075000000000001,4.24,6.33
peace,peace,True,7.75,0.6875,4.65,7.17
pen,pen,True,5.63,0.15749999999999997,2.75,6.17
penis,penis,True,5.3,0.07499999999999996,5.9,6.21
people,people,True,5.7,0.17500000000000004,3.77,5.4
person,person,True,6.1,0.2749999999999999,3.71,6.0
phone,phone,True,6.09,0.27249999999999996,3.43,4.44
picture,picture,True,6.73,0.4325000000000001,3.29,6.12
pie,pie,True,6.45,0.36250000000000004,4.05,6.29
place,place,True,5.86,0.21500000000000008,3.52,6.53
plane,plane,True,5.72,0.17999999999999994,4.91,5.07
plant,plant,True,7.05,0.5125,3.94,6.45
play,play,True,7.55,0.6375,3.81,6.29
police,police,True,4.59,-0.10250000000000004,5.95,3.44
politics,politics,True,4.0,-0.25,3.44,3.42
poop,poop,True,2.6,-0.6,5.14,4.48
poor,poor,True,3.67,-0.3325,4.67,4.0
pop,pop,True,6.05,0.26249999999999996,4.45,5.68
potato,potato,True,6.4,0.3500000000000001,2.38,5.46
power,power,True,5.97,0.24249999999999994,5.41,6.17
pretty,pretty,True,7.7,0.675,5.5,6.7
priest,priest,True,4.5,-0.125,3.76,5.82
prison,prison,True,1.94,-0.765,5.1,3.54
queen,queen,True,6.52,0.3799999999999999,5.05,6.04
quick,quick,True,6.08,0.27,5.16,6.18
quiet,quiet,True,6.47,0.36749999999999994,1.95,5.8
race,race,True,5.44,0.1100000000000001,5.2,4.56
rain,rain,True,6.58,0.395,3.29,4.25
red,red,True,5.67,0.16749999999999998,5.02,5.2
religion,religion,True,5.42,0.10499999999999998,5.0,4.42
rich,rich,True,6.83,0.4575,6.81,6.83
right,right,True,7.32,0.5800000000000001,5.0,7.16
ring,ring,True,7.09,0.5225,4.43,5.44
river,river,True,6.72,0.42999999999999994,4.22,4.89
road,road,True,5.59,0.14749999999999996,3.81,6.0
rock,rock,True,5.72,0.17999999999999994,3.14,5.26
room,room,True,5.55,0.13749999999999996,3.1,5.71
round,round,True,5.89,0.22249999999999992,2.5,4.78
rude,rude,True,2.04,-0.74,4.7,3.8
run,run,True,6.41,0.35250000000000004,5.24,5.44
sad,sad,True,2.1,-0.725,3.49,3.84
same,,False,5.0,0.0,5.0,5.0
sandwich,sandwich,True,7.18,0.5449999999999999,4.94,5.57
scary,scary,True,3.0,-0.5,5.35,3.7
school,school,True,5.41,0.10250000000000004,4.57,5.88
science,science,True,6.32,0.33000000000000007,5.25,6.74
sea,sea,True,6.56,0.3899999999999999,2.8,5.22
secret,secret,True,5.33,0.08250000000000002,4.14,5.41
see,see,True,6.27,0.3174999999999999,3.9,6.0
sex,sex,True,6.73,0.4325000000000001,7.6,6.17
sexy,sexy,True,7.42,0.605,6.8,6.0
sharp,sharp,True,5.24,0.06000000000000005,6.0,4.92
sheep,sheep,True,5.32,0.08000000000000007,2.95,4.42
shiny,shiny,True,6.68,0.41999999999999993,4.45,6.17
ship,ship,True,6.14,0.2849999999999999,3.94,5.84
shirt,shirt,True,5.56,0.1399999999999999,2.3,5.67
shoe,shoe,True,5.78,0.19500000000000006,2.4,5.44
shop,shop,True,5.89,0.22249999999999992,4.76,5.72
shopping,,False,5.0,0.0,5.0,5.0
short,short,True,5.67,0.16749999999999998,2.62,4.39
show,show,True,5.91,0.22750000000000004,4.1,5.83
sick,sick,True,2.29,-0.6775,4.67,2.84
sign,sign,True,5.27,0.0674999999999999,3.19,5.38
silly,silly,True,6.72,0.42999999999999994,4.86,6.5
skin,skin,True,5.78,0.19500000000000006,3.25,5.0
sleep,sleep,True,7.22,0.5549999999999999,3.6,5.3
small,small,True,5.76,0.18999999999999995,3.43,4.53
smart,smart,True,7.73,0.6825000000000001,3.81,6.81
smell,smell,True,6.39,0.3474999999999999,5.24,5.44
smoke,smoke,True,3.44,-0.39,5.0,4.17
snow,snow,True,6.78,0.44500000000000006,4.57,5.62
soft,soft,True,7.13,0.5325,3.04,6.1
song,song,True,7.59,0.6475,4.6,6.95
sound,sound,True,6.45,0.36250000000000004,4.14,5.5
soup,soup,True,7.05,0.5125,4.24,6.64
space,space,True,6.89,0.4724999999999999,3.6,4.98
speak,speak,True,5.91,0.22750000000000004,4.19,5.89
speed,speed,True,6.71,0.4275,6.8,6.58
spice,spice,True,6.55,0.38749999999999996,4.06,6.0
sport,sport,True,6.95,0.48750000000000004,4.7,6.21
square,square,True,5.11,0.02750000000000008,3.33,5.3
star,star,True,7.47,0.6174999999999999,5.5,5.82
stars,,False,5.0,0.0,5.0,5.0
steal,steal,True,2.17,-0.7075,5.3,3.0
stick,stick,True,5.27,0.0674999999999999,3.81,5.82
stone,stone,True,4.81,-0.0475000000000001,3.25,7.26
stop,stop,True,4.73,-0.0674999999999999,4.14,5.06
store,store,True,5.94,0.2350000000000001,3.43,5.44
story,story,True,7.27,0.5674999999999999,3.52,5.33
street,street,True,5.07,0.01750000000000007,3.45,5.41
strength,strength,True,6.73,0.4325000000000001,5.3,7.42
strong,strong,True,6.81,0.4524999999999999,5.14,6.54
study,study,True,5.78,0.19500000000000006,2.55,5.33
stupid,stupid,True,2.84,-0.54,4.34,4.03
sugar,sugar,True,6.56,0.3899999999999999,5.29,6.32
sun,sun,True,6.92,0.48,4.64,4.98
sweet,sweet,True,7.77,0.6924999999999999,4.14,6.12
talk,talk,True,6.64,0.4099999999999999,3.38,6.44
tall,tall,True,6.71,0.4275,3.85,6.47
tea,tea,True,6.56,0.3899999999999999,2.05,6.0
teacher,teacher,True,7.37,0.5925,2.9,5.95
teeth,teeth,True,5.0,0.0,3.8,5.65
television,television,True,7.18,0.5449999999999999,4.1,6.21
tell,tell,True,5.27,0.0674999999999999,3.86,4.94
thief,thief,True,2.32,-0.67,6.05,3.14
thin,thin,True,5.47,0.11749999999999994,4.5,5.33
think,think,True,6.68,0.41999999999999993,3.75,6.5
throw,throw,True,5.55,0.13749999999999996,4.52,6.12
time,time,True,5.6,0.1499999999999999,3.41,4.36
tiny,tiny,True,5.1,0.02499999999999991,4.6,6.16
tired,tired,True,4.29,-0.1775,3.67,5.06
together,,False,5.0,0.0,5.0,5.0
toilet,toilet,True,3.71,-0.3225,4.5,6.37
top,top,True,6.0,0.25,4.33,6.25
trash,trash,True,2.74,-0.565,3.66,4.24
travel,travel,True,7.89,0.7224999999999999,5.55,6.82
tree,tree,True,7.59,0.6475,2.67,5.62
trees,,False,5.0,0.0,5.0,5.0
true,TRUE,True,7.51,0.6275,4.98,7.0
truth,truth,True,7.19,0.5475000000000001,3.88,6.95
tv,tv,True,6.05,0.26249999999999996,4.24,5.24
two,two,True,6.3,0.32499999999999996,3.33,5.05
university,university,True,6.95,0.48750000000000004,4.24,5.7
up,,False,5.0,0.0,5.0,5.0
vegetable,vegetable,True,6.79,0.4475,3.75,5.17
wait,wait,True,4.55,-0.11250000000000004,3.62,5.31
walk,walk,True,6.77,0.4424999999999999,3.24,5.83
war,war,True,2.23,-0.6925,6.27,3.27
warm,warm,True,7.5,0.625,3.35,6.33
watch,watch,True,5.45,0.11250000000000004,3.37,6.55
water,water,True,7.0,0.5,3.71,6.12
weak,weak,True,2.95,-0.5125,4.9,5.32
weather,weather,True,6.05,0.26249999999999996,4.21,4.37
wedding,wedding,True,7.35,0.5874999999999999,5.32,5.08
weight,weight,True,3.91,-0.27249999999999996,4.05,5.95
weird,weird,True,5.09,0.022499999999999964,4.29,4.75
wet,wet,True,5.64,0.15999999999999992,5.0,6.11
