source,target,weight
water,drink,0.0909090909090909
water,wet,0.0909090909090909
weak,strong,0.336734693877551
weather,cold,0.12
weather,rain,0.19
wedding,day,0.06
wedding,marriage,0.15
wedding,white,0.08
weight,fat,0.12
weight,heavy,0.18
weird,odd,0.202020202020202
weird,science,0.0808080808080808
wet,cold,0.07
wet,rain,0.08
wet,water,0.21
white,black,0.373737373737374
white,snow,0.0707070707070707
wife,mother,0.07
wife,woman,0.07
wine,alcohol,0.0808080808080808
wine,cheese,0.0606060606060606
wine,red,0.272727272727273
woman,female,0.22
woman,girl,0.07
woman,man,0.38
wood,hard,0.0606060606060606
wood,tree,0.353535353535354
wood,trees,0.0606060606060606
words,language,0.11
work,hard,0.0808080808080808
work,job,0.0909090909090909
work,play,0.222222222222222
world,earth,0.21
world,war,0.07
writing,pen,0.1
writing,words,0.06
wrong,bad,0.07
wrong,right,0.5
yellow,color,0.0618556701030928
yellow,sun,0.164948453608247
yes,no,0.52
you,me,0.616161616161616
you,person,0.0606060606060606
young,child,0.17
young,old,0.43
