node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
ball,9,1.2031313131313135,2.015324413860935,0.9172136679374808,-0.5185186666666666,-0.04292625851928135,0.2849999999999999,3.48,5.47,-0.5435632942790712,-0.2956219141643827,0.6187514614299751,gensim_poincare,10,10,2.0,0.4,22,2.1972245773362196,-0.5185187,0.9172137,-0.08585252,0.285,-0.5435633,-0.2956219,0.71326935,-0.92107993
band,4,0.5246464646464645,1.1142428649155756,0.803756327779806,-0.12152775,-0.023849051936657685,0.3600000000000001,4.52,5.56,-0.11635733887492494,0.7636758909954465,0.7724894153305554,gensim_poincare,5,6,2.4,1.152,23,1.3862943611198906,-0.12152775,0.80375636,-0.047698103,0.36,-0.11635734,0.76367587,0.080952615,-0.14018692
bang,4,0.4747474747474746,1.294391305589154,0.9337059587716316,-0.23958325,-0.01588294185312648,0.0249999999999999,6.09,4.89,-0.15475510866452763,0.8100561804438168,0.824706104702151,gensim_poincare,5,5,2.0,0.8,24,1.3862943611198906,-0.23958325,0.933706,-0.031765882,0.025,-0.15475512,0.8100562,0.080952615,-0.5057113
bank,1,0.4,-0.0,0.0,0.111111,0.111111,0.25,4.19,4.78,0.553454724849891,-0.08030219296139593,0.5592500108655143,gensim_poincare,2,1,1.0,0.5,25,0.0,0.111111,0.0,0.222222,0.25,0.5534547,-0.080302194,-1.0,-0.8172378
baseball,3,0.22999999999999998,1.08501115745815,0.9876197168461961,-0.07407400000000001,-0.0009170570943348707,0.1975,3.15,6.05,-0.6688077041392254,-0.4420056449189221,0.8016687191453674,gensim_poincare,4,4,2.0,1.0,26,1.0986122886681098,-0.074074,0.9876197,-0.0018341142,0.1975,-0.6688077,-0.44200563,-0.14336532,-0.298027
beach,2,0.16,0.6615632381579821,0.954434002924965,-0.2708335,-0.012340798468821478,0.5525,5.1,5.7,0.31080806838259073,0.647527615705151,0.7182573831660312,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,27,0.6931471805599453,-0.2708335,0.954434,-0.024681596,0.5525,0.31080806,0.64752764,-0.45952368,-0.72108763
beautiful,2,0.5233333333333329,0.4617229504476018,0.6661254108753757,0.1785715,0.05962048619186785,0.6525000000000001,5.71,6.17,0.45560573358358647,-0.6284694983036038,0.7762412606736525,gensim_poincare,3,3,2.0,1.3333333333333333,28,0.6931471805599453,0.1785715,0.6661254,0.11924097,0.6525,0.45560575,-0.6284695,-0.45952368,0.048113532
bed,2,0.771010101010101,0.3883023408846554,0.5602018615598681,-0.2083335,-0.09162468547471724,0.54,3.0,6.73,-0.6084252919262727,-0.10109279014591664,0.6167666398850189,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,29,0.6931471805599453,-0.2083335,0.5602019,-0.18324937,0.54,-0.6084253,-0.10109279,-0.45952368,-0.72108763
bee,2,0.16999999999999998,0.6914160776171183,0.9975025463691153,-0.0833335,-0.00020812155214933151,-0.3299999999999999,5.65,5.32,-0.5364500670792932,0.4125056867893265,0.6767123584676965,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,30,0.6931471805599453,-0.0833335,0.99750257,-0.0004162431,-0.33,-0.5364501,0.4125057,-0.45952368,-0.72108763
beer,4,0.4009090909090909,1.3608584259957925,0.9816518512680452,0.20833325,0.0038225294568115186,0.1674999999999999,4.3,5.33,-0.5123448069169123,0.6390786441638988,0.8190962792011055,gensim_poincare,5,8,3.2,2.0480000000000005,31,1.3862943611198906,0.20833325,0.98165184,0.007645059,0.1675,-0.5123448,0.6390786,0.080952615,0.79023886
