words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
三角形,37,79,37,20,57,1.85659180347722,1,0.0899621212121212,0.00477866823755205,0.000155358320004534,0.000122955423907143,3.68286886871553e-05,1.66713325783184e-05,0.000118838473877976,6.27457824821981e-05,3.0274590536163e-05,2.71083520832769e-05,3.25225060231327e-05,2.90234906179837e-05,54614.2417686129,53350.5
三轮车,9,17,9,22,31,0.367580917580918,1,0.0345572354211663,0.00158390920464463,3.29711164881776e-05,2.42122301249911e-05,0.00016191908199233,7.40255719718576e-05,3.64897722989407e-05,1.41007247329998e-05,2.51851105626354e-05,2.75770779328222e-05,2.66983231975481e-05,2.96402142099433e-05,10973.7198944443,9574
上,30,83,30,16,46,2.0107275634732,1,0.0218023255813953,0.00110299650332491,0.000181415491434031,0.000285528687866899,5.054180565337e-05,2.14538993652399e-05,0.000123762365878747,5.40670473009994e-05,3.15676494728203e-05,2.66666666666667e-05,3.50827461349782e-05,2.88058672035746e-05,39202.6470000088,50977.5
上下,15,45,15,10,25,1.08214039843946,1,0.0491525423728814,0.00381719357467959,8.92044441411414e-05,0.000130846481472678,8.3813295904146e-06,3.35802035356262e-06,4.72961233114749e-05,2.74405796269308e-05,2.88292443855047e-05,2.58384579608289e-05,3.18194072854109e-05,2.8616930974714e-05,10853.3209711531,19176
上下文,2,5,2,15,17,0.11195652173913,1,0.12962962962963,0.00633893026635983,1.75755907682133e-05,1.77349244287228e-05,6.40547168614822e-05,2.08599754879316e-05,3.11006011387472e-06,9.73062045634218e-07,1.90095998479232e-05,2.63866167080057e-05,2.06407569259727e-05,2.8682577481358e-05,597.275829682036,946
上升,34,62,34,23,57,1.47185469010072,1,0.0339622641509434,0.00162303332612744,0.000103543204353838,8.17036568173753e-05,3.90649017310638e-05,2.24842010059744e-05,0.000112322746355275,0.000375863754952706,2.88217661978326e-05,2.7753878604535e-05,3.10690298444323e-05,2.97553916685567e-05,44831.4754500973,45088.5
上午,4,18,4,20,24,0.410912004662005,1,0.152014652014652,0.00848724470165199,2.31883220819793e-05,2.85355624390738e-05,0.000114233956059337,3.57930136093774e-05,1.39678285813552e-05,1.0086205569412e-05,2.31032252102393e-05,2.67258198145228e-05,2.53791719547489e-05,2.84690138600185e-05,2084.94407754752,3121
上厕所,20,33,20,21,41,0.792764870338641,1,0.0698529411764706,0.00374137855484794,9.67641432537982e-05,8.76786863786718e-05,7.50495004600945e-05,7.03698668676105e-05,8.02627034992815e-05,3.17232544339149e-05,2.81896600327e-05,2.74025155509276e-05,3.05051108500447e-05,2.92982036624324e-05,25888.830384564,25853
上司,26,56,26,24,50,1.36912511223231,1,0.0740589198036007,0.0039879445420669,8.35765313255622e-05,0.000110204445908593,0.000150256209659803,0.000109233288963886,0.00014788482472097,8.7095736638619e-05,2.87125301481567e-05,2.79072363463846e-05,3.089022128603e-05,2.98355076300813e-05,21443.3913599381,20306
上吊,9,20,9,10,19,0.532069143446852,1,0.131736526946108,0.00914146392741408,5.22288282892254e-05,5.96005069498327e-05,5.2815092762828e-05,2.93764415263274e-05,3.42792496391523e-05,1.03293347871947e-05,2.7214587018642e-05,2.5932937423822e-05,2.9501405986635e-05,2.88748143299511e-05,5726.22965303295,7431
