Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
食物稀缺,0,0,0,1,1,1
饿殍满地,0,0,0,1,1,1
诸葛诞,0,0,0,1,1,1
饿莩栽道,0,0,0,1,1,1
饿殍遍地,0,0,0,1,1,1
易子而食,0,0,0,1,1,1
儿寒乎,0,0,0,1,1,1
肚子叫,0,0,0,2,2,2
饿晕,0,0,0,1,1,1
饱饭,0,0,0,1,1,1
厨娘,0,0,0,2,2,2
红烧小黄鱼,0,0,0,1,1,1
中午饭,0,0,0,1,1,1
糙米饭,0,0,0,1,1,1
拔丝香蕉,0,0,0,1,1,1
续滩,0,0,0,1,1,1
坐桌,0,0,0,1,1,1
盘子菜,0,0,0,1,1,1
卫生问题,0,0,0,1,1,1
龙套,0,0,0,1,1,1
育才中学,0,0,0,1,1,1
泡沫塑料,0,0,0,2,2,2
新饭盒,0,0,0,1,1,1
阿萨姆,0,0,0,1,1,1
蓝色吸管,0,0,0,1,1,1
巧克力碎了,0,0,0,1,1,1
零度可乐,0,0,0,1,1,1
Rio,0,0,0,1,1,1
三瓶,0,0,0,1,1,1
许玖,0,0,0,1,1,1
饮酒过度,0,0,0,1,1,1
不开吃,0,0,0,1,1,1
沙琪玛,0,0,0,1,1,1
四菜一汤,0,0,0,1,1,1
马奶酒,0,0,0,1,1,1
宝石加工,0,0,0,1,1,1
来一份,0,0,0,1,1,1
炸鸡翅,0,0,0,2,2,2
龙虾粉,0,0,0,1,1,1
绝味,0,0,0,1,1,1
我妈的微信名,0,0,0,1,1,1
恶性伤人,0,0,0,1,1,1
很多猪,0,0,0,1,1,1
韭菜猪肉,0,0,0,2,2,2
碎肉机,0,0,0,1,1,1
烧卖,0,0,0,4,4,4
糖饼,0,0,0,1,1,1
里脊肉饼,0,0,0,1,1,1
王子杰,0,0,0,1,1,1
炕饼,0,0,0,1,1,1
奶盐,0,0,0,1,1,1
曲奇饼干,0,0,0,1,1,1
难以保存,0,0,0,1,1,1
达能,0,0,0,3,3,3
干干的,0,0,0,1,1,1
米钱,0,0,0,1,1,1
肚子空空,0,0,0,1,1,1
肠鸣,0,0,0,1,1,1
酸辣土豆丝,0,0,0,1,1,1
吃粉,0,0,0,2,2,2
皮薄馅大,0,0,0,1,1,1
聚集地,0,0,0,1,1,1
竹里馆,0,0,0,1,1,1
肉龙,0,0,0,1,1,1
有嚼劲,0,0,0,1,1,1
炼奶,0,0,0,1,1,1
尔,0,0,0,2,2,2
首字母,0,0,0,1,2,0
最开始,0,0,0,1,1,1
再然后,0,0,0,1,1,1
先决条件,0,0,0,1,1,1
能力高,0,0,0,2,2,2
舞动家,0,0,0,1,1,1
coo,0,0,0,1,1,1
必须要做,0,0,0,1,1,1
睡觉困,0,0,0,1,1,1
最先做的事情,0,0,0,1,1,1
首堵,0,0,0,1,2,0
政治中心,0,0,0,1,2,0
墨尔本,0,0,0,3,3,3
渥太华,0,0,0,1,1,1
同志们辛苦了,0,0,0,1,1,1
陈云,0,0,0,1,1,1
脑满肥肠,0,0,0,1,1,1
薪水多,0,0,0,1,1,1
很严肃,0,0,0,1,1,1
大往生,0,0,0,1,1,1
听他的,0,0,0,1,1,1
灵魂人物,0,0,0,1,1,1
望着,0,0,0,1,1,1
草莓熊,0,0,0,1,1,1
铜锌合金,0,0,0,1,1,1
金银镯子,0,0,0,1,1,1
香君,0,0,0,1,1,1
容臭,0,0,0,1,1,1
罗勒叶,0,0,0,1,1,1
华妃娘娘,0,0,0,1,1,1
熬制,0,0,0,2,2,2
软木塞,0,0,0,2,2,2
喷晒,0,0,0,1,1,1
琥珀色,0,0,0,1,1,1
白兰地,0,0,0,3,3,3
史密斯夫妇,0,0,0,1,1,1
水晶高脚杯,0,0,0,1,1,1
前调,0,0,0,1,1,1
闻不见,0,0,0,1,1,1
沁鼻,0,0,0,1,1,1
香调,0,0,0,1,1,1
Mary,0,0,0,1,1,1
迪奥小姐,0,0,0,1,1,1
味道好闻,0,0,0,1,1,1
香灰,0,0,0,2,2,2
烟嘴,0,0,0,1,1,1
皂荚,0,0,0,1,1,1
祛螨,0,0,0,1,1,1
香皂香味,0,0,0,1,1,1
萨拉咪,0,0,0,1,1,1
和谐内容,0,0,0,1,1,1
鸡肉肠,0,0,0,2,2,2
喜旺,0,0,0,1,1,1
腊鱼,0,0,0,1,1,1
白切鸡,0,0,0,2,2,2
不要加香菜,0,0,0,1,1,1
有气味,0,0,0,2,2,2
增香,0,0,0,1,1,1
芫茜,0,0,0,1,1,1
甜糯,0,0,0,1,1,1
东成西就,0,0,0,3,3,3
大香蕉,0,0,0,1,1,1
兰茝,0,0,0,1,1,1
熏蒸,0,0,0,1,1,1
赤兔,0,0,0,1,1,1
horse,0,0,0,1,1,1
蹄铁,0,0,0,1,1,1
汗血,0,0,0,1,1,1
马嘴,0,0,0,1,1,1
将要发生的事,0,0,0,1,1,1
马上就好,0,0,0,1,1,1
红顶商人,0,0,0,1,1,1
思想家之一,0,0,0,1,1,1
大英图书馆,0,0,0,1,1,1
杯刷,0,0,0,2,2,2
沈佳宜,0,0,0,1,1,1
马屁股,0,0,0,1,1,1
双马尾傲娇,0,0,0,1,1,1
马尾毛,0,0,0,1,1,1
八骏图,0,0,0,2,2,2
阳光马戏团,0,0,0,1,1,1
钻火圈,0,0,0,1,1,1
跳火轮,0,0,0,1,1,1
动物杂技,0,0,0,1,1,1
Fc,0,0,0,1,1,1
全民健身,0,0,0,1,1,1
马桶垫,0,0,0,1,2,0
卫丽洗,0,0,0,1,1,1
坐便,0,0,0,1,1,1
奇美拉,0,0,0,2,2,2
滑动的鳞片,0,0,0,1,1,1
忘东忘西,0,0,0,1,1,1
完成作业,0,0,0,1,1,1
两车道宽,0,0,0,1,1,1
马路杀手,0,0,0,2,2,2
扫地工,0,0,0,1,1,1
篷车,0,0,0,1,1,1
天子驾六,0,0,0,1,1,1
迪士尼公主,0,0,0,1,1,1
八恶人,0,0,0,1,1,1
出塞,0,0,0,1,1,1
炸薯条,0,0,0,1,1,1
马背,0,0,0,1,3,0
钓鱼竿,0,0,0,1,1,1
铁马蹄,0,0,0,1,1,1
赛马场,0,0,0,1,1,1
脱缰的野马,0,0,0,1,1,1
马绳,0,0,0,1,1,1
游牧民族,0,0,0,2,2,2
征战沙场,0,0,0,1,1,1
马裤,0,0,0,1,1,1
桀骜,0,0,0,3,3,3
避恶,0,0,0,1,1,1
避祸,0,0,0,1,1,1
趋吉,0,0,0,1,1,1
百草,0,0,0,1,1,1
中邪,0,0,0,1,1,1
邪气凛然,0,0,0,1,1,1
骡,0,0,0,2,6,1
风马牛不及,0,0,0,1,1,1
小毛驴,0,0,0,1,1,1
驴脾气,0,0,0,1,1,1
驴耳朵,0,0,0,1,1,1
巴博斯,0,0,0,1,1,1
洛克王国,0,0,0,1,1,1
良驹,0,0,0,1,2,0
光阴易逝,0,0,0,1,1,1
体态不好,0,0,0,1,1,1
橐驼,0,0,0,1,1,1
含胸,0,0,0,1,1,1
加西莫多,0,0,0,1,1,1
佝偻病,0,0,0,1,2,0
补肾,0,0,0,2,2,2
学不会,0,0,0,4,4,4
运营证,0,0,0,1,1,1
考不过,0,0,0,1,2,0
副驾驶,0,0,0,1,1,1
吁,0,0,0,1,1,1
科一科二科三,0,0,0,1,1,1
危险紧张感,0,0,0,1,1,1
路权,0,0,0,2,2,2
横亘东西,0,0,0,1,1,1
妈麻马骂,0,0,0,1,1,1
骂战,0,0,0,2,2,2
污辱,0,0,0,1,1,1
骂声,0,0,0,2,2,2
狗逼,0,0,0,1,1,1
娘希匹,0,0,0,1,1,1
不带脏字,0,0,0,1,1,1
东湖,0,0,0,2,2,2
戒骄戒躁,0,0,0,1,1,1
熬骨,0,0,0,1,1,1
金海心,0,0,0,1,1,1
水袋,0,0,0,2,2,2
耐旱,0,0,0,1,1,1
储水,0,0,0,3,4,2
双峰,0,0,0,2,2,2
温和可亲,0,0,0,1,1,1
搭人,0,0,0,1,1,1
石榴派,0,0,0,1,1,1
安全码,0,0,0,1,1,1
骑驴看唱本,0,0,0,1,1,1
天启,0,0,0,2,2,2
明火执仗,0,0,0,1,1,1
白衣小姐,0,0,0,1,1,1
佩剑,0,0,0,2,2,2
政教合一,0,0,0,1,1,1
跃马,0,0,0,1,1,1
公路车,0,0,0,1,1,1
林荫小道,0,0,0,1,1,1
骑乘位,0,0,0,1,1,1
带女朋友骑车,0,0,0,1,1,1
竞技运动,0,0,0,1,1,1
骁勇善战,0,0,0,2,2,2
赤兔马,0,0,0,1,1,1
围猎,0,0,0,2,2,2
跑马场,0,0,0,2,2,2
骑士服,0,0,0,1,1,1
马蹬,0,0,0,1,1,1
赌马,0,0,0,1,2,0
端枪,0,0,0,1,1,1
马靴,0,0,0,1,1,1
分析力,0,0,0,1,1,1
哄骗,0,0,0,5,6,4
要防,0,0,0,1,1,1
惊天,0,0,0,1,1,1
不道德的,0,0,0,1,1,1
骗取,0,0,0,1,1,1
谎报,0,0,0,1,1,1
遛遛,0,0,0,1,2,0
驮,0,0,0,1,1,1
母骡,0,0,0,1,1,1
驼东西,0,0,0,1,1,1
沙漠骆驼,0,0,0,1,1,1
没有后代,0,0,0,1,1,1
骑骡找马,0,0,0,1,1,1
背东西,0,0,0,1,1,1
大骨,0,0,0,1,1,1
骨血,0,0,0,2,2,2
骨子里,0,0,0,1,1,1
骨粉,0,0,0,1,1,1
骨杖,0,0,0,1,1,1
骨癌,0,0,0,1,1,1
血丝,0,0,0,4,4,4
炖高汤,0,0,0,1,1,1
大骨汤面,0,0,0,1,1,1
科研室,0,0,0,2,2,2
大补汤,0,0,0,1,1,1
中流抵柱,0,0,0,1,1,1
懂行的,0,0,0,1,1,1
碎掉,0,0,0,2,2,2
医院标本模型,0,0,0,1,1,1
幻戏,0,0,0,1,1,1
人体解剖学,0,0,0,1,1,1
赫海,0,0,0,1,1,1
画心,0,0,0,1,1,1
人体解刨,0,0,0,1,1,1
骷髅人,0,0,0,1,1,1
五个五,0,0,0,1,1,1
梭哈,0,0,0,1,1,1
掷骰子,0,0,0,1,1,1
电子的,0,0,0,1,1,1
骨牌,0,0,0,1,1,1
认股,0,0,0,2,2,2
契尔氏,0,0,0,1,1,1
一将功成万骨枯,0,0,0,2,2,2
天空树,0,0,0,1,1,1
耸高,0,0,0,1,1,1
高个子的人,0,0,0,1,1,1
富帅,0,0,0,1,1,1
国中,0,0,0,2,2,2
参差错落,0,0,0,1,1,1
二代子弟,0,0,0,1,1,1
凛雪鸦,0,0,0,1,1,1
装比,0,0,0,1,1,1
藐视一切,0,0,0,1,1,1
高自尊,0,0,0,1,1,1
傲骨,0,0,0,1,1,1
现在不,0,0,0,1,1,1
趣闻,0,0,0,1,1,1
另一面,0,0,0,1,1,1
懒得理你,0,0,0,3,3,3
内心柔软,0,0,0,1,1,1
大角虫,0,0,0,1,1,1
难以近人,0,0,0,1,1,1
拉姆,0,0,0,1,1,1
人高马大,0,0,0,2,2,2
上海男篮,0,0,0,1,1,1
低小,0,0,0,1,1,1
黑人大叔,0,0,0,1,1,1
流弊,0,0,0,2,2,2
知识垄断,0,0,0,1,1,1
上档次,0,0,0,7,11,5
新鲜装备,0,0,0,1,1,1
诫疤,0,0,0,1,1,1
高丝,0,0,0,1,1,1
云顶,0,0,0,2,2,2
肉食者鄙,0,0,0,1,1,1
既得利益,0,0,0,1,1,1
遇知音,0,0,0,1,1,1
伯牙子期,0,0,0,4,5,3
仰之弥高,0,0,0,1,1,1
高山火海,0,0,0,1,1,1
上班高峰期,0,0,0,1,1,1
交通状况,0,0,0,1,1,1
匹克,0,0,0,1,1,1
实验图表,0,0,0,1,1,1
赶不及,0,0,0,2,2,2
透明公益,0,0,0,1,1,1
相对高度,0,0,0,1,1,1
非常矮,0,0,0,1,1,1
高空作业,0,0,0,2,2,2
精神世界,0,0,0,1,1,1
高了去了,0,0,0,1,1,1
效率高的,0,0,0,1,1,1
有效率,0,0,0,2,2,2
节约时间,0,0,0,2,2,2
产率,0,0,0,1,1,1
背书效率,0,0,0,1,1,1
就业压力,0,0,0,3,3,3
高树,0,0,0,1,1,1
高代,0,0,0,2,2,2
理性思维,0,0,0,1,1,1
数学分析,0,0,0,2,2,2
线数,0,0,0,1,1,1
数学之美,0,0,0,1,1,1
战意,0,0,0,1,1,1
高杰,0,0,0,1,1,1
另就,0,0,0,1,1,1
老师学术,0,0,0,1,1,1
Chanel,0,0,0,3,3,3
发撑死,0,0,0,1,1,1
地王大厦,0,0,0,1,1,1
光学污染,0,0,0,1,1,1
群体性,0,0,0,1,1,1
碎片大厦,0,0,0,1,1,1
武功高强的人,0,0,0,1,1,1
技术开发区,0,0,0,1,1,1
故作高深,0,0,0,1,1,1
浅湿,0,0,0,1,1,1
环境问题,0,0,0,3,3,3
副歌,0,0,0,1,1,1
进广告,0,0,0,1,1,1
女上位,0,0,0,1,1,1
精彩部分,0,0,0,1,1,1
基因序列,0,0,0,2,2,2
绝地武士,0,0,0,1,1,1
物理化学,0,0,0,2,2,2
钢索,0,0,0,2,2,2
塔吊机,0,0,0,1,1,1
喷气式,0,0,0,1,1,1
顶奢,0,0,0,1,1,1
卖大米,0,0,0,1,1,1
粗硬,0,0,0,1,1,1
高奢,0,0,0,2,2,2
高级感,0,0,0,2,3,1
高档餐厅,0,0,0,1,1,1
电风扇妈妈,0,0,0,1,1,1
小考,0,0,0,1,1,1
高三同学,0,0,0,1,1,1
无铅玻璃,0,0,0,1,1,1
酌,0,0,0,1,1,1
佩岑,0,0,0,1,1,1
贵态,0,0,0,1,1,1
待机时长,0,0,0,1,1,1
卡脚,0,0,0,1,1,1
坡跟,0,0,0,1,1,1
阿斯兰,0,0,0,1,3,0
扎古,0,0,0,1,1,1
基拉,0,0,0,1,1,1
十个百分比,0,0,0,1,1,1
高速网络,0,0,0,1,1,1
低速,0,0,0,1,1,1
隔离墙,0,0,0,2,2,2
省道,0,0,0,1,1,1
石油路,0,0,0,1,1,1
车很多,0,0,0,1,1,1
闸机,0,0,0,1,1,1
非常快,0,0,0,1,1,1
中国牛逼,0,0,0,1,1,1
神思者,0,0,0,1,1,1
不敢接近,0,0,0,1,1,1
昂头挺胸,0,0,0,1,2,0
俯目而视,0,0,0,1,1,1
眼影刷,0,0,0,1,1,1
梳毛,0,0,0,1,1,1
回乡偶书,0,0,0,1,1,1
吃腐肉,0,0,0,2,2,2
白色便便,0,0,0,1,1,1
掏肛,0,0,0,1,1,1
以弱胜强,0,0,0,3,3,3
灰突突,0,0,0,1,1,1
汪汪队立大功,0,0,0,1,1,1
搞鬼,0,0,0,1,1,1
主君的太阳,0,0,0,1,1,1
捉鬼,0,0,0,1,1,1
回魂,0,0,0,1,1,1
飘渺不定,0,0,0,1,1,1
非物质性,0,0,0,2,2,2
神话传说,0,0,0,3,3,3
富士急,0,0,0,1,1,1
金高银,0,0,0,2,2,2
明清小说,0,0,0,2,2,2
陆星材,0,0,0,1,1,1
鬼太郎,0,0,0,1,1,1
百鬼夜行,0,0,0,1,1,1
不恐怖,0,0,0,1,1,1
无头鬼,0,0,0,1,1,1
红衣女鬼,0,0,0,1,1,1
如何讲述,0,0,0,1,1,1
声音惊悚,0,0,0,1,1,1
不会看,0,0,0,1,1,1
鬼神之事,0,0,0,1,1,1
白泽,0,0,0,2,2,2
泣鬼神,0,0,0,1,1,1
可能存在,0,0,0,1,1,1
狐仙,0,0,0,2,2,2
中国经典,0,0,0,1,1,1
白日作梦,0,0,0,1,1,1
见鬼说鬼话,0,0,0,1,1,1
见人说人话,0,0,0,1,1,1
飘乎不定,0,0,0,1,1,1
白色的人,0,0,0,1,1,1
鬼切,0,0,0,1,1,1
有胆识,0,0,0,1,1,1
红子,0,0,0,1,1,1
飞行扫把,0,0,0,1,1,1
白发魔女传,0,0,0,1,1,1
机械术士,0,0,0,1,1,1
魔女之家,0,0,0,1,1,1
伊利亚,0,0,0,1,1,1
女巫狩猎,0,0,0,1,1,1
六色,0,0,0,2,2,2
梁玮轩,0,0,0,1,1,1
魔方三阶,0,0,0,1,1,1
二阶,0,0,0,1,1,1
大变活人,0,0,0,1,2,0
魔术大师,0,0,0,1,1,1
寻妈记,0,0,0,1,1,1
怎么变得,0,0,0,1,1,1
呼神护卫,0,0,0,2,2,2
乡村女孩,0,0,0,1,1,1
容易断,0,0,0,1,1,1
石矶娘娘,0,0,0,1,1,1
冬青木,0,0,0,1,1,1
摇身一变,0,0,0,1,1,1
魔法部,0,0,0,1,1,1
魔爪,0,0,0,1,1,1
从不撒谎,0,0,0,1,1,1
demon,0,0,0,1,1,1
鱼皮,0,0,0,2,2,2
鱼肉百姓,0,0,0,1,1,1
鳍,0,0,0,2,2,2
大春,0,0,0,1,1,1
鸬鹚,0,0,0,1,1,1
渔具,0,0,0,2,2,2
王孝满,0,0,0,1,1,1
喂鱼,0,0,0,3,3,3
鱼塘主,0,0,0,1,1,1
浮标,0,0,0,2,3,1
鱼篓,0,0,0,1,1,1
利诱,0,0,0,2,2,2
咬勾,0,0,0,1,1,1
脏河,0,0,0,1,1,1
海参,0,0,0,1,2,0
翅,0,0,0,1,1,1
鸟翅,0,0,0,1,1,1
上钩了,0,0,0,1,1,1
钓具,0,0,0,1,1,1
鱼肺,0,0,0,1,1,1
鱼食,0,0,0,3,3,3
胖头鱼,0,0,0,2,3,1
尖钩,0,0,0,1,1,1
丁爸,0,0,0,1,1,1
粮道街,0,0,0,1,1,1
鱿鱼须,0,0,0,2,2,2
营口,0,0,0,1,1,1
蜜汁炖鱿鱼,0,0,0,1,1,1
鱿鱼食品,0,0,0,1,1,1
墨鱼仔,0,0,0,1,2,0
不讲礼貌,0,0,0,1,1,1
傻孢子,0,0,0,1,1,1
迅哥儿,0,0,0,1,1,1
许广平,0,0,0,1,2,0
乌篷船,0,0,0,3,3,3
周作人,0,0,0,1,1,1
学医救不了中国人,0,0,0,1,2,0
虎子,0,0,0,1,1,1
水生生物,0,0,0,2,2,2
煎烤,0,0,0,1,1,1
黄玉,0,0,0,1,1,1
溯游,0,0,0,1,1,1
怎么吃,0,0,0,2,2,2
鲅鱼,0,0,0,1,1,1
桃花流水鳜鱼肥,0,0,0,1,1,1
海货,0,0,0,1,1,1
鱼羊鲜,0,0,0,1,1,1
咸汤,0,0,0,1,1,1
旗帜鲜明,0,0,0,2,2,2
人物性格,0,0,0,1,1,1
立意,0,0,0,1,1,1
艳红,0,0,0,1,1,1
化做,0,0,0,1,1,1
高饱和,0,0,0,1,1,1
鲜花市场,0,0,0,1,1,1
送佳人,0,0,0,1,1,1
祭献,0,0,0,1,1,1
猪血豆腐,0,0,0,1,1,1
如注,0,0,0,1,1,1
玻璃酒杯,0,0,0,1,1,1
夏夷则,0,0,0,1,1,1
红纱,0,0,0,1,1,1
一点红,0,0,0,1,1,1
在河里游,0,0,0,1,1,1
利齿,0,0,0,1,1,1
巨齿鲨,0,0,0,1,1,1
宽嘴,0,0,0,1,1,1
青鱼,0,0,0,1,1,1
须须,0,0,0,1,2,0
有须,0,0,0,1,1,1
鲶系长相,0,0,0,1,1,1
鲸油,0,0,0,1,1,1
鲲,0,0,0,3,3,3
次声波,0,0,0,1,1,1
小鳄鱼爱洗澡,0,0,0,1,1,1
嘴巴长,0,0,0,1,1,1
绿色的水,0,0,0,1,1,1
颚,0,0,0,1,1,1
鳍好,0,0,0,1,1,1
很难的古诗,0,0,0,1,1,1
背鳍,0,0,0,1,1,1
意大利菜,0,0,0,1,1,1
学校超市,0,0,0,1,1,1
冷冻鱼,0,0,0,1,1,1
味道好,0,0,0,3,3,3
煎鱼排,0,0,0,1,1,1
鳕鱼甘油,0,0,0,1,1,1
脊椎动物,0,0,0,1,1,1
能吃吗,0,0,0,1,1,1
水生物,0,0,0,1,1,1
鳗鱼片,0,0,0,1,1,1
蒲烧鳗鱼,0,0,0,1,1,1
蛇鱼,0,0,0,1,1,1
鸟食,0,0,0,1,1,1
鸡吧,0,0,0,1,1,1
涉禽,0,0,0,1,1,1
逐木鸟,0,0,0,1,1,1
做鸡,0,0,0,1,1,1
海南鸡饭,0,0,0,2,2,2
喙,0,0,0,5,6,4
卡通人物,0,0,0,1,1,1
蓝色夏威夷,0,0,0,1,1,1
色彩诡异,0,0,0,1,1,1
预调酒,0,0,0,1,1,1
有度数,0,0,0,1,1,1
味道多,0,0,0,1,1,1
洋玩意,0,0,0,1,1,1
百利甜,0,0,0,1,1,1
乌骨鸡汤,0,0,0,1,1,1
补身体,0,0,0,1,1,1
翅尖,0,0,0,1,1,1
包饭,0,0,0,1,1,1
翅中,0,0,0,3,3,3
新奥尔良烤翅,0,0,0,1,1,1
鸡脚,0,0,0,1,1,1
麦乐鸡,0,0,0,1,2,0
旁勒,0,0,0,1,1,1
地锅鸡,0,0,0,1,1,1
烧烤麦当劳,0,0,0,1,1,1
烤的,0,0,0,1,1,1
买大,0,0,0,1,1,1
糖心蛋,0,0,0,1,1,1
鸡蛋炒西红柿,0,0,0,1,1,1
沙门氏菌,0,0,0,1,1,1
mu,0,0,0,1,1,1
雏鸟,0,0,0,1,1,1
约德尔唱法,0,0,0,1,1,1
老母鸡,0,0,0,1,1,1
二小姐,0,0,0,1,1,1
不可名状物,0,0,0,1,1,1
空响,0,0,0,1,1,1
汽鸣,0,0,0,2,2,2
鸟乌鸦,0,0,0,1,1,1
啼,0,0,0,1,1,1
人叫,0,0,0,1,1,1
壶子,0,0,0,1,1,1
喔喔喔,0,0,0,1,1,1
抓拍,0,0,0,1,1,1
阿芙蓉,0,0,0,1,1,1
对外出口,0,0,0,1,1,1
福寿膏,0,0,0,1,1,1
呀天空,0,0,0,1,1,1
香木,0,0,0,1,1,1
全聚德东来顺,0,0,0,1,1,1
做鸭,0,0,0,1,1,1
性服务者,0,0,0,1,1,1
五杯鸭,0,0,0,1,1,1
塑料鸭,0,0,0,1,1,1
水波粼粼,0,0,0,1,1,1
雪鹤,0,0,0,1,1,1
绝味鸭脖,0,0,0,4,4,4
大蛋,0,0,0,1,1,1
渡鸦,0,0,0,1,1,1
钻进沙里,0,0,0,1,1,1
袋鼠肉排,0,0,0,1,1,1
我见过,0,0,0,1,1,1
缩头乌龟,0,0,0,2,2,2
缩起来,0,0,0,1,1,1
鸽哨,0,0,0,1,1,1
黑色的眼珠,0,0,0,1,1,1
炖乳鸽,0,0,0,1,1,1
信鸽比赛,0,0,0,1,1,1
歌迷会,0,0,0,1,1,1
鹅肉,0,0,0,1,1,1
农村一霸,0,0,0,1,1,1
大白鹅,0,0,0,1,1,1
登鹳雀楼,0,0,0,1,1,1
风声鹤唳,0,0,0,1,2,0
红鹤,0,0,0,1,1,1
脖子长,0,0,0,2,2,2
单脚,0,0,0,1,1,1
驾鹤西归,0,0,0,1,1,1
鹤云,0,0,0,1,1,1
落单,0,0,0,3,3,3
耄耋老人,0,0,0,1,1,1
独立寒秋,0,0,0,1,1,1
清风不识字,0,0,0,1,1,1
鹘,0,0,0,1,1,1
软革,0,0,0,1,1,1
鹿头装饰,0,0,0,1,1,1
树林里,0,0,0,1,1,1
科大,0,0,0,1,1,1
蒸鹿尾,0,0,0,3,3,3
茸,0,0,0,1,1,1
moose,0,0,0,1,1,1
罗技,0,0,0,2,2,2
没声音,0,0,0,2,2,2
毋米粥,0,0,0,1,1,1
方片,0,0,0,1,1,1
绿色包装,0,0,0,1,1,1
有谷,0,0,0,1,1,1
泡着,0,0,0,1,1,1
干巴巴的,0,0,0,1,1,1
穗苗,0,0,0,1,1,1
谷稻,0,0,0,1,1,1
革命电视剧,0,0,0,1,1,1
蒸麦子,0,0,0,1,1,1
麻草,0,0,0,1,1,1
神经压迫,0,0,0,1,1,1
痹,0,0,0,1,1,1
薯,0,0,0,1,2,0
四川菜,0,0,0,1,1,1
麻子脸,0,0,0,1,2,0
破相,0,0,0,1,1,1
麻风病人,0,0,0,1,1,1
油条麻子,0,0,0,1,1,1
雀神,0,0,0,1,1,1
穷胡,0,0,0,1,1,1
万里边城,0,0,0,1,1,1
毁了一个家庭,0,0,0,1,1,1
怎么胡,0,0,0,1,1,1
原村和,0,0,0,1,1,1
药布,0,0,0,1,1,1
麻布衣服,0,0,0,1,1,1
numb,0,0,0,1,1,1
一个人脸,0,0,0,1,1,1
dumb,0,0,0,1,1,1
失去信仰,0,0,0,1,1,1
不麻烦,0,0,0,2,2,2
救生通道,0,0,0,1,1,1
挂相片,0,0,0,1,1,1
硌手,0,0,0,1,1,1
rope,0,0,0,1,1,1
结绳,0,0,0,2,2,2
吕得水,0,0,0,1,1,1
麻瓜泡水,0,0,0,1,1,1
麻花疼,0,0,0,1,1,1
装木头的,0,0,0,1,1,1
大容量,0,0,0,2,2,2
孙越,0,0,0,1,1,1
焦麻鸡,0,0,0,1,1,1
麻辣香锅,0,0,0,3,4,2
重庆火锅,0,0,0,1,1,1
白背心,0,0,0,3,3,3
刘伯承,0,0,0,1,1,1
躺了,0,0,0,1,1,1
小学课本题目,0,0,0,1,1,1
塘朗,0,0,0,1,1,1
叽喳,0,0,0,1,1,1
陈队长,0,0,0,1,1,1
叽叽咋咋,0,0,0,1,1,1
万晓利,0,0,0,1,1,1
黄焖鸡米饭,0,0,0,1,1,1
灰黄,0,0,0,1,1,1
烛俱利,0,0,0,1,1,1
红色色情,0,0,0,1,1,1
铁良,0,0,0,1,1,1
黄网,0,0,0,1,1,1
黄记煌,0,0,0,1,1,1
土地公公,0,0,0,2,2,2
棕皮肤,0,0,0,1,1,1
战死沙场,0,0,0,1,1,1
高原人,0,0,0,1,1,1
后土,0,0,0,1,2,0
迷倒,0,0,0,1,1,1
诸神的黄昏,0,0,0,1,1,1
天上来,0,0,0,1,1,1
扬子江,0,0,0,1,1,1
昌江,0,0,0,1,1,1
黄色的河水,0,0,0,1,1,1
奔跑吧兄弟,0,0,0,3,3,3
高脂肪,0,0,0,2,3,1
切黄油,0,0,0,1,1,1
刷票,0,0,0,1,1,1
囯族,0,0,0,1,1,1
蒙古血统,0,0,0,1,1,1
颜值正义,0,0,0,1,1,1
谢霆锋的歌,0,0,0,1,1,1
脸黄,0,0,0,1,1,1
不黄,0,0,0,1,1,1
一种颜色,0,0,0,1,1,1
柠檬鸡方便面,0,0,0,1,1,1
黄豆炖猪蹄,0,0,0,1,1,1
穷奢极欲,0,0,0,1,1,1
金饰,0,0,0,1,1,1
菜百,0,0,0,1,1,1
黄儿金吒,0,0,0,1,1,1
卡紫拉,0,0,0,1,1,1
紫黑色的天空,0,0,0,1,1,1
沾,0,0,0,1,1,1
坦桑尼亚,0,0,0,2,2,2
黑葡萄,0,0,0,1,1,1
雅马哈,0,0,0,1,1,1
李笑白,0,0,0,1,1,1
待你长发及腰,0,0,0,1,1,1
小焰,0,0,0,1,1,1
短发女人,0,0,0,1,1,1
能登麻美子,0,0,0,1,1,1
大地母亲,0,0,0,1,1,1
黑色的眼睛,0,0,0,1,1,1
寻找光明,0,0,0,1,1,1
白加黑,0,0,0,2,2,2
不民主,0,0,0,2,2,2
销魂掌,0,0,0,1,1,1
破坏神,0,0,0,1,1,1
黑骑士,0,0,0,1,1,1
黑势力,0,0,0,1,1,1
粉笔印,0,0,0,1,1,1
长方,0,0,0,2,2,2
黑水,0,0,0,1,1,1
时空扭曲,0,0,0,1,1,1
光与暗,0,0,0,1,1,1
宇宙黑洞,0,0,0,1,1,1
干净利落,0,0,0,2,2,2
光暗,0,0,0,1,1,1
双煞,0,0,0,1,1,1
老电视,0,0,0,2,2,2
黑白双煞,0,0,0,2,2,2
眼膜,0,0,0,1,1,1
满面油光,0,0,0,1,1,1
飞哥,0,0,0,1,1,1
道上的,0,0,0,1,1,1
地头蛇,0,0,0,4,4,4
黑天半夜,0,0,0,1,1,1
宫廷斗争,0,0,0,1,1,1
猪猪侠,0,0,0,2,2,2
