Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
汗水,38,45,32,167,247,126
很必须,1,1,1,1,1,1
衰竭,1,1,1,8,9,7
因人而异,2,2,2,9,9,9
苗条,12,25,7,32,59,26
微胖,2,2,2,4,4,4
高矮,5,8,2,15,23,11
心宽体胖,2,2,2,5,5,5
形容词,23,41,18,74,140,66
虚胖,2,2,2,5,5,5
秋声,1,1,1,2,2,2
瘦小,5,5,5,15,19,13
壮硕,5,5,5,13,16,10
肥大,3,4,2,6,7,5
胖瘦,5,10,2,17,26,12
形体,7,8,6,13,17,10
好胖,1,1,1,2,2,2
发胖,9,10,8,29,40,22
桑兰,1,1,1,1,1,1
跳马,1,3,0,1,4,0
体操冠军,1,1,1,1,1,1
啦啦操,2,2,2,2,2,2
高低杠,2,4,1,3,5,2
包子,38,72,25,76,179,52
艰苦,17,21,15,65,88,54
健美体操,1,1,1,1,1,1
广播体操,7,7,7,12,16,9
健美,5,6,4,28,34,24
妖怪手表,2,2,2,2,2,2
操场,34,55,23,100,198,62
刘璇,1,1,1,1,1,1
体操服,2,2,2,2,5,0
高位截瘫,1,1,1,1,1,1
健儿,2,2,2,5,8,3
入职,2,3,1,10,11,9
三高,1,1,1,2,2,2
温度计,8,18,4,22,47,15
体温,5,11,3,11,19,9
脱光,1,1,1,1,1,1
抽血,6,11,4,12,24,8
视力检查,2,3,1,2,3,1
血压,4,4,4,14,16,12
视力表,2,5,1,4,13,2
检查身体,2,2,2,2,2,2
验血,2,6,1,6,13,5
体检中心,1,1,1,1,1,1
脱衣服,3,3,3,7,8,6
去医院,2,2,2,5,5,5
健康的,1,1,1,3,3,3
检验表,1,1,1,1,1,1
腋毛,3,6,2,7,16,4
长度,31,92,17,83,225,55
汗毛,7,11,5,14,28,10
脚毛,1,1,1,2,3,1
腋下,1,1,1,3,4,2
卷曲,4,4,4,12,16,10
毛发,22,37,15,46,88,32
粗,21,41,16,49,98,35
刮毛,1,1,1,3,4,2
