trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
20,365,381,383,381,383,64,383,381,383,381,383,381,383,64,383,381,383,381,383,75,104,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,104,36,424,166,424,36,424,36,424,388,424,36,424,36,424,36,104,230,104,270,105,270,105,420,243,237
21,428,403,428,403,428,39,162,299,431,213,431,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,358,184,125,184,358,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,358,184,125,184
22,176,173,176,173,20,173,269,383,64,383,381,383,64,383,381,383,381,383,381,383,64,383,381,383,64,383,381,383,64,383,381,383,64,381,383,381,383,381,383,64,383,381,383,381,383,381,383,381,383,64,383,381,383,64,383,64,383,64,383,381,383,381,383,381
23,432,124,324,22,299,162,159,162,299,162,159,286,35,183,327,38,177,175,177,175,177,175,177,298,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175
24,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,142,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,20,48,167,48,167,48,167,48,167
25,72,127,72,127,72,127,72,127,72,361,198,85,200,85,200,85,200,85,200,85,200,85,91,85,200,85,200,85,91,85,91,85,198,415,190,198,337,198,337,198,85,200,85,200,85,200,85,419,85,200,85,198,85,200,85,200,85,198,85,200,85,201,85,200
26,26,8,26,8,195,199,195,199,195,199,195,199,195,199,195,199,195,199,195,199,195,199,195,199,195,189,237,186,237,186,237,186,237,186,237,186,237,231,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109,328,109
27,3,121,3,426,168,417,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341,40,341
28,73,437,278,0,278,266,278,0,278,437,278,0,278,437,278,0,278,437,278,266,278,266,278,0,278,437,278,0,278,437,278,266,278,0,278,266,340,266,340,53,230,104,230,104,270,105,270,105,270,105,270,105,270,105,270,104,230,104,230,53,368,230,104,270
29,25,255,287,255,287,255,287,255,25,255,287,255,25,255,25,255,287,255,69,255,25,255,287,255,25,255,25,255,25,255,287,255,317,303,317,303,317,255,287,255,287,255,25,255,25,255,25,255,25,255,287,255,287,255,287,255,287,255,287,255,25,255,25,255
30,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211,309,211
31,266,278,437,278,437,278,437,278,266,278,437,278,437,278,437,278,437,278,0,278,437,278,437,278,266,278,437,278,0,278,437,278,437,278,437,278,0,278,437,278,0,278,266,278,437,278,437,73,19,73,437,278,437,278,0,278,437,278,0,278,0,278,437,73
32,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78,356,78
33,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401
34,9,186,237,186,237,189,237,186,237,243,420,243,420,243,420,243,420,243,425,243,420,243,237,186,237,189,237,231,237,231,237,231,237,243,420,243,420,243,420,243,420,243,237,186,237,336,290,336,142,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427
35,411,153,126,153,126,153,89,153,126,153,126,153,110,153,90,153,89,153,90,153,126,153,90,153,126,153,126,153,89,153,90,153,110,153,126,153,126,153,89,153,126,153,126,153,126,153,90,153,126,153,126,153,126,118,417,168,100,386,84,386,100,386,84,100
36,436,245,192,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,192,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245
37,31,118,31,426,168,118,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,197,95,252,118,3,426,315,37,315,37,315,38,87,315,37,315,37,315,87,315,37,315,87,315,37,315,87,315,37,315,87,38,87,315
38,323,362,4,362,323,29,352,29,352,29,352,29,352,29,352,29,352,29,352,29,352,29,352,29,352,29,352,29,352,397,348,204,113,63,348,204,348,204,348,204,113,348,204,113,204,348,204,348,204,348,397,352,29,352,397,352,29,352,29,352,29,352,29,352
39,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,377,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418,378,418
40,69,255,25,255,25,255,25,255,25,255,25,255,25,255,287,255,287,255,287,255,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303,317,303
41,131,20,173,20,173,20,173,20,173,176,7,176,173,20,173,20,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318,434,318
