node_index,node,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
152,fly,-0.065,0.88020843,-0.015572907,0.265,-0.3540209,0.52835816,0.25494713,-0.39417714
153,food,-0.255424,0.8910415,-0.055661228,0.63,0.7527579,0.2724694,1.0,-0.8989794
154,foot,-0.18518533,0.92273116,-0.028618103,-0.08,-0.51961106,-0.20119272,-0.14336532,-0.75233644
155,football,0.263889,0.8830035,0.061748188,0.38,-0.6755095,-0.4462802,-0.45952368,0.048113532
156,forever,-0.0833335,0.7385238,-0.043579455,0.0,-0.15401255,-0.43141448,-0.45952368,-0.72108763
157,friend,0.142857,0.0,0.285714,0.4475,0.44472137,-0.62039125,-1.0,-0.8172378
158,fruit,0.152778,0.87812364,0.03724005,0.5,-0.21542756,-0.7561077,-0.14336532,-0.298027
159,fun,-0.2717595,0.9454781,-0.029633684,0.8425,-0.5917162,-0.41534203,0.397111,-0.56141675
160,funny,0.0,0.91234124,0.0,0.6475,-0.3060135,-0.54567623,-0.45952368,-0.72108763
161,game,-0.26080233,0.94518435,-0.028592102,0.4475,-0.66263753,-0.4330935,0.71326935,-0.6344756
162,games,-0.027778,0.90189725,-0.005450197,0.0,-0.6155155,-0.4174672,-0.14336532,-0.298027
163,garbage,-0.0833335,0.45660892,-0.09056536,-0.53,0.042554956,0.13476937,-0.45952368,-0.72108763
164,garden,-0.0833335,0.8366407,-0.027226597,0.5625,0.4802954,-0.5770685,-0.45952368,-0.72108763
165,gas,-0.125,0.9709506,-0.0072623515,-0.235,0.20138822,0.19643551,-0.45952368,-0.72108763
166,ghost,0.142857,0.0,0.285714,-0.1925,0.04992048,0.3017998,-1.0,-0.8172378
167,girl,-0.16309543,0.7159386,-0.09265823,0.5375,0.44091848,-0.6151003,0.51730883,-0.5251817
168,glass,-0.2180555,0.9777958,-0.009683515,0.12,-0.4887605,0.6288522,0.397111,-0.3555489
169,glasses,0.0333335,0.8197227,0.012018544,0.0,0.10802519,-0.5096525,-0.45952368,-0.72108763
